date,US_Confirmed,US_Death,US_Retail_Rec,US_Grocery_Pharm,US_Parks,US_Transit,US_Workplaces,US_Residential,New_York_Confirmed,New_York_Deaths,New_York_Retail_Rec,New_York_Grocery_Pharm,New_York_Parks,New_York_Transit,New_York_Workplaces,New_York_Residential,Texas_Confirmed,Texas_Deaths,Texas_Retail_Rec,Texas_Grocery_Pharm,Texas_Parks,Texas_Transit,Texas_Workplaces,Texas_Residential,California_Confirmed,California_Deaths,California_Retail_Rec,California_Grocery_Pharm,California_Parks,California_Transit,California_Workplaces,California_Residential,Florida_Confirmed,Florida_Deaths,Florida_Retail_Rec,Florida_Grocery_Pharm,Florida_Parks,Florida_Transit,Florida_Workplaces,Florida_Residential,Illinois_Confirmed,Illinois_Deaths,Illinois_Retail_Rec,Illinois_Grocery_Pharm,Illinois_Parks,Illinois_Transit,Illinois_Workplaces,Illinois_Residential
3/15/20,3212,70,-178,40212,13907,394,-9648,2399,633,10,-16,1554,1427,-425,-186,97,63,0,695,2647,-323,890,-836,127,373,5,-776,593,-1164,-736,-464,212,100,3,138,1004,1242,-7,-257,78,66,0,438,2337,369,-8,-99,62
3/16/20,4650,97,-1629,59013,5567,-5113,-33719,8507,961,21,-3,2314,431,-579,-949,380,85,0,590,3487,182,364,-3035,526,557,7,-542,1281,-835,-963,-1137,407,101,3,58,1181,434,-240,-1040,231,83,0,-41,2485,-311,-271,-834,283
3/17/20,6434,132,-29364,41208,11602,-7520,-50837,12647,1407,35,-1421,1067,-13,-735,-1518,645,110,1,-355,3070,526,83,-3820,744,700,12,-1118,684,-272,-1058,-1566,563,190,5,-329,1122,402,-272,-1247,323,161,1,-1874,1540,774,-261,-2025,412
3/18/20,9089,191,-43992,31317,12717,-9921,-61047,14913,2507,60,-1581,835,1036,-832,-1822,716,196,4,-799,3349,796,245,-4061,853,831,16,-1350,478,-459,-1239,-1835,657,306,7,-735,840,429,-509,-1471,415,272,1,-2580,976,-532,-422,-2363,562
3/19/20,13574,264,-56588,27706,6523,-15324,-67955,17247,4221,88,-1850,573,261,-1030,-2012,815,306,5,-2067,3232,383,-370,-4472,987,1009,18,-1472,400,-70,-1270,-1958,700,432,9,-1024,721,179,-777,-1592,476,422,4,-2912,1173,-374,-575,-2477,604
3/20/20,19927,363,-71284,23423,7401,-19840,-71386,19024,7660,143,-2071,655,480,-1315,-2211,964,429,5,-4516,1807,-1564,-1069,-4918,1275,1243,24,-2087,-129,-490,-1552,-2196,822,564,11,-1492,665,-275,-1044,-1750,596,585,5,-2686,2378,-331,-562,-2577,582
3/21/20,25911,462,-84401,12366,9682,-18703,-40623,8362,10410,195,-2412,167,1197,-1202,-1471,381,582,6,-6350,-96,-2750,-1457,-2450,616,1412,25,-2540,-675,-818,-1677,-1622,554,763,13,-2121,290,-1002,-1151,-1184,408,753,6,-3817,894,-133,-630,-1465,250
3/22/20,34697,571,-87080,-14983,4178,-24947,-55361,6809,15191,249,-2623,-608,722,-1584,-1740,323,643,8,-6262,-1192,-2084,-1693,-3474,493,1651,30,-2537,-945,-442,-1584,-1837,436,1004,13,-2269,-333,-777,-1440,-1674,376,1049,9,-4815,-1970,-841,-1076,-2273,269
3/23/20,45908,759,-77167,-6984,-11461,-27081,-83088,19872,20884,351,-3312,-1687,-1267,-1834,-2914,1136,758,10,-4785,-304,-444,-1457,-4786,1126,2113,39,-2165,-861,-1015,-1841,-2358,822,1227,18,-1970,-324,-1147,-1366,-1945,599,1285,12,-3667,-918,-434,-944,-3570,689
3/24/20,56464,998,-86032,-19616,466,-25381,-95219,22196,25681,475,-2786,-941,122,-1487,-2964,1109,955,15,-4317,-127,439,-1109,-5581,1239,2542,50,-2284,-907,-1325,-1846,-2527,897,1412,18,-2085,-417,-1229,-1273,-2164,683,1537,16,-3749,-858,-171,-883,-3766,728
3/25/20,68481,1322,-83023,-19803,2249,-26935,-99279,22394,30841,632,-2784,-1008,-257,-1626,-2980,1149,1229,19,-4211,-523,369,-1240,-5921,1340,3009,65,-2323,-938,-1025,-1897,-2570,894,1682,23,-2091,-487,-1165,-1345,-2254,702,1865,19,-3224,-611,650,-800,-3757,684
3/26/20,86353,1730,-85103,-20160,10157,-29125,-101409,22782,37397,867,-2490,-690,1156,-1602,-2959,1090,1563,25,-4884,-1088,115,-1642,-6128,1389,3910,81,-2246,-843,-771,-1799,-2583,894,2357,29,-2191,-549,-1179,-1562,-2311,730,2538,26,-3428,-537,-186,-902,-3766,723
3/27/20,104970,2247,-94267,-25636,6465,-34775,-99144,23688,44701,1139,-2716,-934,1186,-1846,-2954,1168,1937,34,-6211,-1972,-590,-2188,-6238,1492,4679,94,-2468,-903,-949,-1945,-2499,924,2900,35,-2398,-685,-1414,-1839,-2362,836,3024,34,-3744,-639,-69,-1037,-3699,744
3/28/20,124464,2879,-101924,-30242,-9907,-34879,-60167,10184,52400,1492,-3132,-1311,-517,-1891,-2119,488,2455,39,-6749,-2896,-1755,-2776,-3411,717,5110,110,-2749,-1164,-2301,-2108,-1913,623,3763,54,-2560,-852,-1754,-1976,-1760,530,3491,47,-4047,-746,-290,-1042,-2170,306
3/29/20,143366,3465,-89615,-35564,-2503,-35325,-67642,7682,59648,1874,-3017,-1367,-726,-1999,-2153,381,2792,47,-6334,-3301,-1149,-2869,-4182,571,5863,124,-2680,-1223,-1444,-1784,-2061,482,4246,56,-2559,-1155,-1509,-2043,-2139,444,4596,66,-3544,-954,-224,-1082,-2285,228
3/30/20,165319,4154,-83031,-28668,-3225,-33175,-100840,21546,66663,2286,-2686,-1103,-488,-1865,-3018,1118,3147,57,-6118,-2825,-1770,-2532,-6279,1428,7155,146,-2207,-1018,-888,-1915,-2502,816,5473,63,-2260,-930,-1504,-1732,-2289,707,5056,73,-2658,-477,361,-880,-3639,658
3/31/20,191609,5239,-86747,-26506,-4417,-30599,-108889,23514,75853,2775,-2606,-1008,-86,-1644,-3115,1137,3809,68,-4919,-1663,-246,-1869,-6700,1428,8233,173,-2102,-741,-555,-1767,-2654,851,6741,85,-2274,-904,-1886,-1509,-2439,784,5994,99,-3220,-605,-242,-888,-3886,704
4/1/20,217369,6404,-74481,-7432,3593,-29325,-109546,22906,83948,3411,-2341,-537,761,-1643,-3108,1123,4355,85,-4344,-594,105,-1677,-6800,1378,9410,199,-1995,-532,-687,-1748,-2612,842,6956,87,-1772,71,-1481,-1452,-2482,741,6980,141,-2694,72,496,-783,-3859,695
4/2/20,247723,7905,-85869,-11703,1559,-33290,-111536,23904,92506,4138,-2543,-669,334,-1805,-3132,1139,5069,100,-5883,-1722,-945,-2287,-7081,1536,10790,238,-2088,-525,-662,-1858,-2656,882,9008,164,-2037,-129,-1642,-1609,-2525,775,7695,163,-3213,-66,610,-860,-3885,689
4/3/20,279709,9290,-93949,-10610,-6909,-38598,-109196,24895,102987,4899,-2851,-790,-844,-2081,-3148,1282,5734,118,-7346,-2304,-2272,-2920,-7136,1714,12016,265,-2205,-540,-979,-1912,-2577,895,10268,170,-2775,-820,-2160,-2076,-2730,930,8904,210,-3210,51,568,-936,-3861,694
4/4/20,312559,10817,-107874,-19529,-7756,-38199,-67027,10398,113833,5686,-2875,-788,1266,-1801,-2199,467,6567,135,-8911,-3996,-4094,-3594,-4558,863,12837,289,-2813,-1028,-2828,-2277,-2034,624,11537,195,-3038,-1084,-2493,-2270,-2050,621,10357,244,-3946,175,-101,-1032,-2245,299
